Date,Open,High,Low,Close,Adj Close,Volume
2021-07-06,159.919998,160.440002,157.860001,160.110001,158.802734,6671000
2021-07-07,160.160004,161.500000,158.279999,160.160004,158.852325,5408300
2021-07-08,158.169998,160.820007,157.350006,160.630005,159.318497,6081600
2021-07-09,161.690002,161.960007,160.509995,161.000000,159.685471,5002300
2021-07-12,161.639999,162.429993,160.710007,161.820007,160.498795,4992200
2021-07-13,161.350006,162.309998,161.009995,161.589996,160.270660,5747700
2021-07-14,161.869995,162.729996,161.339996,161.539993,160.221054,4928000
2021-07-15,160.860001,162.199997,160.389999,161.690002,160.369858,6432500
2021-07-16,161.619995,161.699997,159.639999,159.850006,158.544861,6603700
2021-07-19,158.149994,158.820007,156.600006,157.869995,156.581024,7377100
2021-07-20,157.259995,160.429993,156.580002,159.740005,158.435760,4629200
2021-07-21,160.500000,161.429993,160.009995,161.080002,159.764816,5393100
2021-07-22,161.110001,163.750000,160.929993,163.679993,162.343582,4851500
2021-07-23,164.350006,166.449997,163.729996,166.360001,165.001709,4217700
2021-07-26,165.710007,166.529999,163.820007,165.089996,163.742065,3858800
2021-07-27,164.820007,165.610001,162.580002,164.570007,163.226334,4359000
2021-07-28,164.490005,165.899994,164.080002,165.460007,164.109070,4093600
2021-07-29,165.899994,167.029999,165.389999,166.990005,165.626572,3605600
2021-07-30,166.589996,167.869995,166.350006,167.509995,166.142303,5364400
2021-08-02,169.059998,169.979996,168.029999,168.750000,167.372192,5532500
2021-08-03,169.220001,171.500000,168.490005,171.229996,169.831940,5718100
2021-08-04,171.360001,172.339996,170.960007,171.910004,170.506409,4646200
2021-08-05,171.410004,174.000000,171.179993,173.850006,172.430557,3824000
2021-08-06,174.360001,174.380005,172.699997,172.800003,171.389130,4088700
2021-08-09,172.500000,173.059998,171.619995,171.770004,170.367538,3612800
2021-08-10,171.559998,173.960007,171.429993,172.270004,170.863464,3747100
2021-08-11,172.000000,173.220001,170.940002,171.270004,169.871613,4078300
2021-08-12,170.889999,171.320007,169.479996,170.639999,169.246750,3997100
2021-08-13,170.449997,171.720001,168.779999,171.690002,170.288177,2966200
2021-08-16,170.699997,172.399994,169.660004,172.360001,170.952698,3530200
2021-08-17,171.539993,171.699997,169.380005,170.660004,169.266602,3602900
2021-08-18,169.750000,171.800003,168.660004,168.809998,167.431702,5487400
2021-08-19,166.960007,167.539993,164.369995,165.589996,164.237991,7336300
2021-08-20,166.270004,168.009995,165.419998,167.789993,166.420029,4039100
2021-08-23,169.449997,170.899994,169.179993,169.720001,168.334290,3796500
2021-08-24,169.600006,170.869995,168.889999,169.979996,168.592148,3133100
2021-08-25,170.000000,170.690002,169.529999,169.839996,168.453293,3003800
2021-08-26,169.380005,169.520004,166.270004,166.919998,165.557129,4069600
2021-08-27,167.270004,168.070007,166.279999,167.580002,166.486023,3012400
2021-08-30,167.889999,168.410004,166.570007,168.029999,166.933075,3537100
2021-08-31,167.550003,167.679993,164.199997,164.740005,163.664566,7545600
2021-09-01,164.919998,166.619995,164.080002,164.559998,163.485733,4706500
2021-09-02,165.240005,165.429993,162.789993,163.669998,162.601547,4632100
2021-09-03,163.199997,164.169998,162.220001,163.289993,162.224030,4254500
2021-09-07,163.699997,163.860001,161.910004,162.639999,161.578278,5648800
2021-09-08,162.000000,162.089996,159.750000,160.710007,159.660889,6591700
2021-09-09,165.259995,166.149994,163.199997,163.339996,162.273712,8414800
2021-09-10,164.250000,165.660004,163.440002,163.589996,162.522064,4252100
2021-09-13,161.559998,162.919998,158.330002,159.520004,158.478653,8814500
2021-09-14,159.169998,159.389999,157.070007,158.759995,157.723587,5323900
2021-09-15,157.500000,158.320007,155.669998,157.910004,156.879166,6827100
2021-09-16,157.589996,159.009995,157.199997,157.600006,156.571198,5085900
2021-09-17,157.960007,161.000000,156.070007,156.419998,155.398880,7944800
2021-09-20,153.729996,155.270004,152.320007,154.250000,153.243057,7041200
2021-09-21,155.089996,156.130005,153.580002,155.020004,154.008026,5857900
2021-09-22,156.789993,158.000000,155.600006,157.440002,156.412216,6844800
2021-09-23,158.710007,160.289993,158.270004,159.580002,158.538254,11981500
2021-09-24,151.039993,151.850006,148.000000,149.589996,148.613464,26913300
2021-09-27,149.509995,149.910004,147.289993,148.039993,147.073593,11479300
2021-09-28,147.339996,147.529999,145.000000,145.300003,144.351486,10692300
2021-09-29,145.710007,147.940002,145.690002,146.020004,145.066772,7794900
2021-09-30,145.880005,147.479996,144.419998,145.229996,144.281921,10133600
2021-10-01,145.220001,148.000000,144.369995,147.059998,146.099991,8112300
2021-10-04,147.059998,147.619995,145.759995,147.139999,146.179474,7951000
2021-10-05,148.000000,151.000000,147.820007,149.460007,148.484329,10881900
2021-10-06,148.000000,149.460007,147.509995,148.800003,147.828613,7610700
2021-10-07,150.300003,153.660004,150.259995,151.850006,150.858719,7958000
2021-10-08,152.220001,152.869995,150.669998,152.479996,151.484589,6333700
2021-10-11,151.990005,153.589996,150.059998,150.279999,149.298950,5551200
2021-10-12,152.419998,153.600006,151.300003,153.350006,152.348923,7408600
2021-10-13,154.320007,156.669998,153.160004,156.300003,155.279663,8456300
2021-10-14,158.179993,158.460007,156.250000,157.139999,156.114182,6024500
2021-10-15,157.800003,158.330002,156.559998,158.009995,156.978485,5532100
2021-10-18,157.309998,159.470001,155.949997,159.429993,158.389221,5765300
2021-10-19,159.679993,159.929993,156.800003,157.820007,156.789749,6198200
2021-10-20,158.500000,158.800003,157.320007,158.449997,157.415619,4487000
2021-10-21,158.449997,162.339996,158.279999,162.179993,161.121277,6121700
2021-10-22,162.279999,164.619995,162.279999,163.479996,162.412781,5323000
2021-10-25,163.229996,164.729996,162.660004,164.220001,163.147964,3878200
2021-10-26,164.820007,165.449997,163.119995,163.789993,162.720764,4711200
2021-10-27,163.649994,164.059998,161.660004,162.350006,161.290161,4163900
2021-10-28,163.009995,164.600006,162.809998,164.460007,163.386398,3762000
2021-10-29,163.059998,167.630005,163.000000,167.289993,166.197906,6740600
2021-11-01,167.800003,168.800003,165.889999,166.330002,165.244186,3610800
2021-11-02,166.759995,168.160004,166.110001,167.830002,166.734390,5038000
2021-11-03,169.000000,172.869995,168.649994,172.500000,171.373917,7176700
2021-11-04,172.210007,175.630005,172.000000,175.440002,174.294724,5460100
2021-11-05,175.729996,179.100006,175.500000,177.509995,176.351196,5892200
2021-11-08,176.350006,176.539993,170.360001,171.850006,170.728149,8301100
2021-11-09,171.250000,173.929993,170.949997,173.820007,172.685303,4343000
2021-11-10,171.229996,172.169998,167.550003,168.259995,167.161575,8185200
2021-11-11,169.600006,169.600006,166.630005,166.970001,165.880005,4994900
2021-11-12,167.500000,169.679993,167.399994,169.089996,167.986176,5126300
2021-11-15,169.699997,170.360001,168.520004,168.850006,167.747742,3856700
2021-11-16,169.250000,174.000000,169.250000,171.830002,170.708282,4401000
2021-11-17,171.600006,172.740005,170.250000,171.740005,170.618881,3940200
2021-11-18,172.330002,173.460007,170.360001,171.350006,170.231430,4044200
2021-11-19,172.149994,177.199997,170.529999,174.880005,173.738373,6145600
